what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1365891408271
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1365891408271
java.runtime.version,sysinfo,,,"1.6.0_43-b01-447-11M4203",1365891408271
java.specification.name,sysinfo,,,"Java Platform API Specification",1365891408271
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365891408271
java.specification.version,sysinfo,,,"1.6",1365891408271
java.vendor,sysinfo,,,"Apple Inc.",1365891408271
java.version,sysinfo,,,"1.6.0_43",1365891408271
java.vm.info,sysinfo,,,"mixed mode",1365891408271
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1365891408271
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365891408271
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1365891408271
java.vm.specification.version,sysinfo,,,"1.0",1365891408271
java.vm.vendor,sysinfo,,,"Apple Inc.",1365891408271
java.vm.version,sysinfo,,,"20.14-b01-447",1365891408271
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1365891408343
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1365891408497
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1365891408507
started,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1365891409125
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1365891409171
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1365891409208
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1365891409253
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1365891409267
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1365891409290
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1365891409861
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1365891409982
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1365891410297
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1365891410397
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1365891410473
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1365891410626
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1365891410780
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1365891410786
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1365891410865
